================================================================================
Project: Pandora（潘多拉）- 代码改动记录
================================================================================
文档版本: v1.0
更新日期: 2026-09-11

格式说明：
  日期 | 文件路径 | 改动类型(新增/修改/删除) | 关联需求 | 作者 | 改动描述

================================================================================
变更记录
================================================================================

2026-09-11 | docx/docx_generate/ | 新增 | 全局 | spec-task-agent | 初始化文档先行机制文件
2026-09-11 | README.md | 新增 | 全局 | spec-task-agent | 创建项目README
2026-09-11 | docx/docx_generate/tasks/task0.md | 新增 | Sprint0 | spec-task-agent | 创建任务执行方案
2026-09-11 | docx/docx_generate/tasks/task0_operation.md | 新增 | Sprint0 | spec-task-agent | 创建详细执行文档

2026-09-11 | pandora-backend/src/main/resources/db/pandora_schema.sql | 新增 | Epic-1~6 | spec-task-agent | 创建11张核心表建表脚本(4NF)
2026-09-11 | pandora-backend/pom.xml | 新增 | 全局 | spec-task-agent | 创建Spring Boot 3工程配置
2026-09-11 | pandora-backend/src/main/resources/application.yml | 新增 | 全局 | spec-task-agent | 创建后端配置文件
2026-09-11 | pandora-backend/src/main/java/com/pandora/backend/PandoraBackendApplication.java | 新增 | 全局 | spec-task-agent | 创建后端主启动类
2026-09-11 | pandora-backend/run-server.bat | 新增 | 全局 | spec-task-agent | 创建Windows批处理启动脚本

2026-09-11 | pandora-backend/.../common/ | 新增 | 全局 | spec-task-agent | 创建通用组件层(ApiResponse/ErrorCode/BusinessException/PageResult/GlobalExceptionHandler)
2026-09-11 | pandora-backend/.../auth/ | 新增 | Epic-5 | spec-task-agent | 创建认证鉴权模块(JwtUtil/AuthController/RoleAuthFilter/SecurityConfig)
2026-09-11 | pandora-backend/.../audit/ | 新增 | Epic-5 | spec-task-agent | 创建审计切面(AuditAspect/AuditService/AuditController)
2026-09-11 | pandora-backend/.../task/TaskController.java | 新增 | Epic-1 | spec-task-agent | 创建任务管理Controller(创建/列表/详情/进度/四象限/状态流转)
2026-09-11 | pandora-backend/.../log/LogController.java | 新增 | Epic-2 | spec-task-agent | 创建日志管理Controller(录入/列表/统计/十大工作)
2026-09-11 | pandora-backend/.../view/ViewController.java | 新增 | Epic-3 | spec-task-agent | 创建视图聚合Controller(月/周/日/导图/信息地图)
2026-09-11 | pandora-backend/.../ai/AIController.java | 新增 | Epic-4 | spec-task-agent | 创建AI分析Controller(MBTI/关键词/建议/占卜)

2026-09-11 | gradle/libs.versions.toml | 修改 | 全局 | spec-task-agent | 添加Retrofit/Room/RxJava/MPAndroidChart等依赖
2026-09-11 | app/build.gradle.kts | 修改 | 全局 | spec-task-agent | 添加新依赖引用
2026-09-11 | settings.gradle.kts | 修改 | 全局 | spec-task-agent | 添加JitPack仓库
2026-09-11 | app/src/main/AndroidManifest.xml | 修改 | 全局 | spec-task-agent | 添加权限和竖屏锁定

2026-09-11 | app/.../core/moon/MoonPhaseCalculator.java | 新增 | NFR-1 | spec-task-agent | 创建月相计算器(8种月相)
2026-09-11 | app/.../core/divination/DivinationEngine.java | 新增 | Epic-4扩展 | spec-task-agent | 创建梅花易数占卜引擎(64卦)
2026-09-11 | app/.../core/theme/ThemeManager.java | 新增 | NFR-1 | spec-task-agent | 创建主题管理器(AUTO/MANUAL模式)
